Individual,Trial,Repetition,Result_type,Result,Sex,SVL,Mass
CATEST6,Soc1,A,score_behavior,0,M,971,771
CATEST6,Soc1,B,score_behavior,0,M,971,771
CATEST7,Soc1,A,score_behavior,0,M,908,406
CATEST8,Soc1,A,score_behavior,0,M,920,454
CATEST8,Soc1,B,score_behavior,0,M,920,454
CATEST9,Soc1,A,score_behavior,0,M,800,384.1
CATEST14,Soc1,A,score_behavior,0,M,679,159
CATEST18,Soc1,B,score_behavior,0,F,684,156.8
CATEST19,Soc1,B,score_behavior,0,M,769,215.7
CATEST20,Soc1,B,score_behavior,0,M,687,193.6
CATEST21,Soc1,A,score_behavior,0,M,831,359.6
CATEST22,Soc1,A,score_behavior,0,M,702,150.6
CATEST2,Soc1,B,score_behavior,1,F,782,232
CATEST3,Soc1,A,score_behavior,1,M,840,382
CATEST3,Soc1,B,score_behavior,1,M,840,382
CATEST7,Soc1,B,score_behavior,1,M,908,406
CATEST9,Soc1,B,score_behavior,1,M,800,384.1
CATEST10,Soc1,A,score_behavior,1,M,1002,772
CATEST12,Soc1,B,score_behavior,1,M,792,283
CATEST13,Soc1,B,score_behavior,1,M,696,287
CATEST14,Soc1,B,score_behavior,1,M,679,159
CATEST15,Soc1,A,score_behavior,1,M,933,454.3
CATEST16,Soc1,A,score_behavior,1,M,699,232
CATEST16,Soc1,B,score_behavior,1,M,699,232
CATEST17,Soc1,B,score_behavior,1,F,775,258.2
CATEST19,Soc1,A,score_behavior,1,M,769,215.7
CATEST20,Soc1,A,score_behavior,1,M,687,193.6
CATEST21,Soc1,B,score_behavior,1,M,831,359.6
CATEST22,Soc1,B,score_behavior,1,M,702,150.6
CATEST24,Soc1,B,score_behavior,1,F,741,276.4
CATEST3,Soc2,A,centimeters,1,M,840,382
CATEST3,Soc2,B,centimeters,1,M,840,382
CATEST4,Soc2,A,centimeters,1,M,890,441
